time	reading
1405526353	50.017384
1405526354	50.017063
1405526355	50.016529
1405526356	50.015827
1405526357	50.014961
1405526358	50.013893
1405526359	50.012733
1405526360	50.011646
1405526361	50.010849
1405526362	50.01009
1405526363	50.009338
1405526364	50.008713
1405526365	50.00808
1405526366	50.007942
1405526367	50.008324
1405526368	50.008755
1405526369	50.008991
1405526370	50.008987
1405526371	50.009026
1405526372	50.009151
1405526373	50.009445
1405526374	50.009644
1405526375	50.009472
1405526376	50.009033
1405526377	50.008274
1405526378	50.007545
1405526379	50.006832
1405526380	50.00613
1405526381	50.005398
1405526382	50.004818
1405526383	50.004471
1405526384	50.004292
1405526385	50.004341
1405526386	50.004776
1405526387	50.005337
1405526388	50.006184
1405526389	50.007458
1405526390	50.009132
1405526391	50.011002
1405526392	50.012642
1405526393	50.014076
1405526394	50.015263
1405526395	50.016212
1405526396	50.017395
1405526397	50.018353
1405526398	50.019428
1405526399	50.020561
1405526400	50.021694
1405526401	50.022709
1405526402	50.023254
1405526403	50.02346
1405526404	50.023235
1405526405	50.022743
1405526406	50.022072
1405526407	50.021317
1405526408	50.020592
1405526409	50.020058
1405526410	50.019745
1405526411	50.019581
1405526412	50.01952
1405526414	50.019516
1405526415	50.019455
1405526416	50.019394
1405526417	50.019356
1405526418	50.019051
1405526419	50.018177
1405526420	50.017078
1405526421	50.016029
1405526422	50.014812
1405526423	50.013378
1405526424	50.011894
1405526425	50.010048
1405526426	50.007965
1405526427	50.005924
1405526428	50.004108
1405526429	50.002831
1405526430	50.001823
1405526431	50.000748
1405526432	49.99963
1405526433	49.9986
1405526434	49.997864
1405526435	49.997318
1405526436	49.996902
1405526437	49.996609
1405526438	49.996323
1405526439	49.995995
1405526440	49.995838
1405526441	49.995834
1405526442	49.996002
1405526443	49.996037
1405526444	49.995541
1405526445	49.994789
1405526446	49.994095
1405526447	49.993168
1405526448	49.992123
1405526449	49.991272
1405526450	49.990555
1405526451	49.989834
1405526452	49.989124
1405526453	49.988628
1405526454	49.988483
1405526455	49.988564
1405526456	49.988811
1405526457	49.989239
1405526458	49.989845
1405526459	49.990913
1405526460	49.991859
1405526461	49.992954
1405526462	49.994122
1405526463	49.995384
1405526464	49.99651
1405526465	49.997707
1405526466	49.998859
1405526467	49.999714
1405526468	50.000019
1405526469	49.999954
1405526470	49.999634
1405526471	49.999077
1405526472	49.998333
1405526473	49.997417
1405526474	49.996365
1405526475	49.995262
1405526476	49.994358
1405526477	49.993515
1405526479	49.992592
1405526480	49.991596
